DATE,Universal,CHOKE,VSH,PHI,SW,NET_THICK,N_OPEN_RESERVOIR,Platform,EVENT,LAST_EVENT,EVENT_PLATFORM,LAST_EVENT_PLATFORM,NORM_PROD_DAYS,WHP,WHT,OIL,WATER,GAS,CHOKE_FLAG,LIQUID,WATERCUT,GLR,GOR
2023-02-07,B-G-1,137.0,33.99440250000004,11.403958124999932,33.15244625000026,16.000000000000455,4.0,G,0.0,11.0,0.0,123.0,12.0,16.711658333333332,64.6280375,422.419962491438,13.8673809883494,8.83918491728102,1,436.2873434797874,0.031784971981411274,0.0202600076517932,0.02092511174222781
2023-02-20,B-G-1,137.0,33.99440250000004,11.403958124999932,33.15244625000026,16.000000000000455,4.0,G,0.0,24.0,0.0,136.0,25.0,19.6856125,65.457775,391.214799500444,6.23193168563149,5.70699457370347,1,397.44673118607545,0.01567991682063638,0.014359143316319253,0.014587880062285306
2023-03-09,B-G-1,137.0,33.99440250000004,11.403958124999932,33.15244625000026,16.000000000000455,4.0,G,0.0,41.0,0.0,153.0,42.0,17.296908333333334,64.52534583333333,286.701366366917,8.92000779576105,5.82780601225323,1,295.621374162678,0.030173757973442215,0.01971375049845427,0.02032709535396798
2023-03-17,B-G-1,137.0,33.99440250000004,11.403958124999932,33.15244625000026,16.000000000000455,4.0,G,0.0,49.0,0.0,161.0,50.0,16.3564875,63.76265833333333,240.069406622655,48.8428473984086,5.29190867494774,1,288.91225402106363,0.16905772156984256,0.018316663974252627,0.022043244699086743
2023-04-02,B-G-1,137.0,33.99440250000004,11.403958124999932,33.15244625000026,16.000000000000455,4.0,G,0.0,65.0,0.0,177.0,66.0,14.87492318402778,62.51641335069444,239.418640194751,70.7928873695635,3.97329448243223,1,310.2115275643145,0.22820843546791275,0.012808339243964646,0.01659559372319641
2023-04-29,B-G-1,137.0,33.99440250000004,11.403958124999932,33.15244625000026,16.000000000000455,4.0,G,0.0,92.0,0.0,204.0,93.0,18.03348071527778,59.89690346180556,97.6583659523937,52.4976539300938,1.60286934319386,1,150.1560198824875,0.34962070765580094,0.010674692526135615,0.01641302644747531
2023-05-11,B-G-1,137.0,33.99440250000004,11.403958124999932,33.15244625000026,16.000000000000455,4.0,G,0.0,104.0,0.0,3.0,105.0,17.794312125,58.59844975,26.0874270389522,52.0901891790036,1.56098053651801,1,78.1776162179558,0.6663056728895188,0.019967103271172456,0.0598365079924228
2023-05-13,B-G-1,137.0,33.99440250000004,11.403958124999932,33.15244625000026,16.000000000000455,4.0,G,0.0,106.0,0.0,5.0,107.0,,,143.303888008149,164.29048305776,1.7788414495399,1,307.594371065909,0.5341140752623106,0.005783075429422417,0.01241307178936238
2023-05-29,B-G-1,137.0,33.99440250000004,11.403958124999932,33.15244625000026,16.000000000000455,11.0,G,1.0,0.0,1.0,0.0,123.0,16.094746756944442,38.65840700347222,6.46191733327127,15.5399999995471,0.0003639593819934,1,22.00191733281837,0.7063020810630634,1.6542166597931585e-05,5.632374467550637e-05
2018-06-03,B-G-10,38.0,0.0,0.0,0.0,0.0,16.0,G,0.0,35.0,0.0,35.0,3189.0,52.98292916666667,71.21204166666666,476.598709810912,620.24537664703,2.59663740071161,1,1096.844086457942,0.5654818075830625,0.0023673714730932972,0.005448267792713522
2018-06-26,B-G-10,38.0,0.0,0.0,0.0,0.0,16.0,G,0.0,58.0,0.0,1.0,3212.0,44.73819583333333,71.56515833333333,486.671401650707,636.705883766791,2.65754040570826,1,1123.3772854174981,0.5667783139572402,0.0023656704120740674,0.0054606463348664674
2018-07-10,B-G-10,38.0,0.0,0.0,0.0,0.0,16.0,G,0.0,72.0,0.0,9.0,3226.0,47.05005416666666,69.74744166666666,234.538708222058,997.441850686181,1.91877355122675,1,1231.9805589082391,0.8096246677545769,0.0015574706413607172,0.008181052781317793
2018-07-18,B-G-10,38.0,0.0,0.0,0.0,0.0,16.0,G,0.0,80.0,0.0,17.0,3234.0,41.2857125,72.19017083333334,428.94018473086,459.807211866017,1.70669080801171,1,888.747396596877,0.517365466978216,0.0019203328353442595,0.003978855021668299
2018-07-23,B-G-10,38.0,0.0,0.0,0.0,0.0,16.0,G,0.0,85.0,0.0,22.0,3239.0,39.809425,72.51879583333333,594.486858216395,560.451104509406,1.98063012200674,1,1154.937962725801,0.48526511604715966,0.001714923386302239,0.0033316634247376156
2018-08-11,B-G-10,38.0,0.0,0.0,0.0,0.0,16.0,G,0.0,104.0,0.0,41.0,3258.0,43.09849583333334,69.78603333333334,648.320842927869,461.368024814693,1.27799237919695,1,1109.688867742562,0.41576340740738715,0.001151667297336025,0.0019712344484027907
2018-08-16,B-G-10,38.0,0.0,0.0,0.0,0.0,16.0,G,0.0,109.0,0.0,46.0,3263.0,42.67785833333334,69.24695833333332,418.565282522333,726.835676113853,1.29192024312263,1,1145.400958636186,0.6345687688085111,0.00112791964541474,0.003086544195298133
2018-08-30,B-G-10,38.0,0.0,0.0,0.0,0.0,16.0,G,0.0,123.0,0.0,60.0,3277.0,42.19058333333333,71.50223333333334,423.572382186499,766.65384912871,1.37087755136854,1,1190.2262313152091,0.6441244773118062,0.001151778977223271,0.0032364658533495755
2018-09-08,B-G-10,38.0,0.0,0.0,0.0,0.0,16.0,G,0.0,132.0,0.0,69.0,3286.0,35.666329166666664,67.77482083333334,574.075750198778,497.737213503337,0.872540111548234,1,1071.812963702115,0.4643881258761032,0.0008140787069176893,0.0015199041437408052
