Universal,START_TIME,WHP,WHT
B-G-1,2023-01-01,17.782065018315016,65.61977619047619
B-G-1,2023-02-01,17.600627846621464,64.89079892447977
B-G-1,2023-03-01,16.735839104116224,63.68107707828894
B-G-1,2023-04-01,17.292289590704538,61.75817073545772
B-G-1,2023-05-01,17.848815813727025,46.018992039144734
B-G-1,2023-06-01,21.231650388153394,28.528891492610835
B-G-1,2023-07-01,17.822188161593484,28.41681358981721
B-G-1,2023-08-01,16.566262992035895,20.28281969354924
B-G-1,2023-09-01,20.61496319386236,3.3377569632393302
B-G-1,2023-10-01,15.689317242893999,28.91571417352204
B-G-10,2018-01-01,27.821798699479793,52.82417446978791
B-G-10,2018-02-01,29.92720885625278,62.37899770805518
B-G-10,2018-03-01,25.989832359460003,58.47217285915777
B-G-10,2018-04-01,27.15264854881809,53.23821837615621
B-G-10,2018-05-01,71.52569279761904,66.60260682539682
B-G-10,2018-06-01,47.85181157635468,71.36305977011494
B-G-10,2018-07-01,41.54701863095238,69.64960742063492
B-G-10,2018-08-01,38.394499067460316,67.42850166666668
B-G-10,2018-09-01,35.898412397372745,66.79040870279145
B-G-10,2018-10-01,32.71273720238095,64.76677779761904
B-G-10,2018-11-01,33.616612975810135,66.08781218621634
B-G-10,2018-12-01,24.255343071428573,69.52283444444444
B-G-10,2019-01-01,22.56936886548778,69.47310337770713
B-G-10,2019-02-01,18.92434673046252,57.89755675552517
B-G-10,2019-03-01,21.36653626386789,65.11693274970155
B-G-10,2019-04-01,17.76311196633826,49.99857270114943
B-G-10,2019-05-01,20.710354062435396,45.763208248914616
B-G-10,2019-06-01,18.767862274220033,50.190478243021346
B-G-10,2019-07-01,64.46162787212788,44.87209270729271
B-G-10,2019-08-01,86.2335769719849,28.192335545400358
B-G-10,2019-09-01,92.47251804727647,28.629855868448097
B-G-10,2019-10-01,93.30378438492063,29.01674517857143
B-G-10,2019-11-01,64.30696679760183,29.492924767417822
B-G-10,2019-12-01,15.65327121230159,28.530390813492062
B-G-10,2020-01-01,13.031171107544145,28.320401719789036
B-G-10,2020-02-01,3.7581697837959838,21.25597499435793
B-G-10,2020-06-01,6.659781714285718,0.0
B-G-10,2020-07-01,6.470370918650797,0.0
B-G-10,2020-08-01,6.097477911445284,0.0
B-G-10,2020-09-01,7.833880909090913,0.0
B-G-10,2020-10-01,42.37739454545455,18.82488181818182
B-G-10,2020-11-01,74.85953466666668,0.036513333333333335
B-G-10,2020-12-01,73.54172339707536,0.0
B-G-10,2021-02-01,77.10267915178572,0.0
B-G-10,2021-03-01,77.68876369465038,0.0
B-G-10,2021-04-01,78.83423210059172,0.0
B-G-10,2021-05-01,79.92980303571429,0.0
B-G-10,2021-06-01,80.93585455486543,0.0
B-G-10,2021-07-01,81.89834642350557,0.0
B-G-10,2021-08-01,57.28906770433206,10.939513802135805
B-G-10,2021-09-01,69.43598005865103,60.55848646837034
B-G-10,2021-10-01,35.47444039621731,64.37457778672032
B-G-10,2021-11-01,19.005466052955672,50.431777073070606
B-G-10,2021-12-01,16.08474582865169,55.32930792536116
B-G-10,2022-01-01,17.40052216377477,51.70911391032325
B-G-10,2022-02-01,20.79259544959569,31.56441012006861
B-G-10,2022-03-01,58.87372903545129,28.363137134441406
B-G-10,2022-04-01,41.14994608850381,43.89746768808115
B-G-10,2022-05-01,23.085171563015876,28.958424543650796
B-G-10,2022-06-01,24.781743255336625,28.59697795566502
B-G-10,2022-07-01,9.24765915867064,28.136063174603173
B-G-10,2022-08-01,14.996333244133393,27.672895121449155
B-G-10,2022-09-01,13.826711816578488,27.43567008377425
B-G-10,2022-10-01,27.540562365257465,27.60788431176117
B-G-10,2022-11-01,16.801547003284078,27.97746089901478
B-G-10,2022-12-01,19.089976206736356,27.90842394889663
B-G-10,2023-01-01,12.691327833931608,26.911001164200822
B-G-10,2023-02-01,14.500511555322133,27.23764617180205
B-G-10,2023-03-01,15.765334399028738,27.295782395791175
B-G-10,2023-04-01,17.001044731419338,27.54541561232297
B-G-10,2023-05-01,17.51224854200011,29.522646508825677
B-G-10,2023-06-01,18.186272046454164,55.68788077464765
B-G-10,2023-07-01,16.629677409507256,53.72855250013908
B-G-10,2023-08-01,18.167186870273433,54.62161795242069
B-G-10,2023-09-01,22.1825807699705,57.38800391375052
B-G-10,2023-10-01,24.278256588353642,58.32893351840162
B-G-13,2023-01-01,-0.038408274358974356,26.78937985347985
B-G-13,2023-02-01,-0.01921157495908347,27.976266425064296
B-G-13,2023-03-01,7.63926225500101,28.150111780157605
B-G-13,2023-04-01,15.752250184564272,28.675920446382392
B-G-13,2023-05-01,17.314400779955097,53.370294887677524
B-G-13,2023-06-01,17.667111735461138,51.89836340055418
B-G-13,2023-07-01,16.540732462719387,44.59044100504007
B-G-13,2023-08-01,15.102468889048945,34.90922308267435
B-G-13,2023-09-01,22.942142670421376,28.9640172579308
B-G-13,2023-10-01,16.51005381151408,29.502356236418255
B-G-14,2018-01-01,22.940258065706903,0.0
B-G-14,2018-02-01,23.97383022774327,62.30310351966874
B-G-14,2018-03-01,25.056822969977834,59.37185690106791
B-G-14,2018-04-01,12.151567543679342,57.97104117163413
B-G-14,2018-05-01,23.096028988095238,59.16937976190476
B-G-14,2018-06-01,37.91725632183908,62.56038594006568
B-G-14,2018-07-01,23.856515277777778,69.64253273809524
B-G-14,2018-08-01,24.174903035714287,67.65741890873016
B-G-14,2018-09-01,22.34756789819376,57.64078924466338
B-G-14,2018-10-01,21.114653611111112,63.565675138888885
B-G-14,2018-11-01,19.575697900502053,66.29940511182109
